session_id,usage,processes,sys_up_time,timestamp
1,9%,273,"7 days, 5:56:45.050000",2023-07-24 15:24:47.378093
1,9%,273,"7 days, 5:56:49.200000",2023-07-24 15:24:51.527755
1,9%,273,"7 days, 5:56:53.070000",2023-07-24 15:24:55.400453
1,9%,273,"7 days, 5:56:57.060000",2023-07-24 15:24:59.389369
1,9%,273,"7 days, 5:57:01.100000",2023-07-24 15:25:03.431461
1,9%,273,"7 days, 5:57:05.120000",2023-07-24 15:25:07.449452
1,9%,271,"7 days, 5:57:09.230000",2023-07-24 15:25:11.560669
1,9%,271,"7 days, 5:57:13.110000",2023-07-24 15:25:15.451634
1,9%,271,"7 days, 5:57:17.170000",2023-07-24 15:25:19.500118
2,18%,229,3:46:48.420000,2023-07-24 15:25:51.417205
2,18%,229,3:46:50.470000,2023-07-24 15:25:53.470029
2,18%,229,3:46:52.470000,2023-07-24 15:25:55.465029
2,18%,229,3:46:54.460000,2023-07-24 15:25:57.460117
2,18%,229,3:46:56.470000,2023-07-24 15:25:59.470333
2,18%,229,3:46:58.470000,2023-07-24 15:26:01.463468
2,18%,229,3:47:00.480000,2023-07-24 15:26:03.478602
2,18%,229,3:47:02.700000,2023-07-24 15:26:05.707446
2,18%,229,3:47:06.420000,2023-07-24 15:26:09.411923
2,18%,229,3:47:08.440000,2023-07-24 15:26:11.431507
2,18%,229,3:47:10.430000,2023-07-24 15:26:13.433754
2,18%,229,3:47:12.490000,2023-07-24 15:26:15.482403
2,18%,229,3:47:14.520000,2023-07-24 15:26:17.516219
3,4%,229,4:45:40.950000,2023-07-24 16:24:43.948171
3,4%,229,4:45:42.930000,2023-07-24 16:24:45.924483
3,4%,229,4:45:44.950000,2023-07-24 16:24:47.945371
3,4%,229,4:45:46.980000,2023-07-24 16:24:49.972219
3,10%,229,4:45:48.960000,2023-07-24 16:24:51.956775
3,10%,229,4:45:50.960000,2023-07-24 16:24:53.959042
3,10%,229,4:45:52.940000,2023-07-24 16:24:55.935877
3,10%,229,4:45:54.960000,2023-07-24 16:24:57.952147
3,10%,229,4:45:56.930000,2023-07-24 16:24:59.927957
3,10%,229,4:45:58.970000,2023-07-24 16:25:01.967922
3,10%,229,4:46:00.990000,2023-07-24 16:25:03.987016
3,10%,229,4:46:02.970000,2023-07-24 16:25:05.961903
3,10%,229,4:46:05.030000,2023-07-24 16:25:08.023038
3,10%,229,4:46:07.050000,2023-07-24 16:25:10.044752
3,10%,229,4:46:09.050000,2023-07-24 16:25:12.044300
3,10%,229,4:46:11.060000,2023-07-24 16:25:14.054024
3,10%,229,4:46:13.110000,2023-07-24 16:25:16.105581
3,10%,229,4:46:15.080000,2023-07-24 16:25:18.076460
3,10%,229,4:46:17.100000,2023-07-24 16:25:20.091799
3,10%,229,4:46:19.110000,2023-07-24 16:25:22.108398
3,10%,229,4:46:21.100000,2023-07-24 16:25:24.100103
3,10%,229,4:46:23.130000,2023-07-24 16:25:26.123127
3,10%,229,4:46:25.150000,2023-07-24 16:25:28.150391
3,10%,229,4:46:27.210000,2023-07-24 16:25:30.204170
3,10%,230,4:46:31.170000,2023-07-24 16:25:34.165909
3,10%,230,4:46:33.570000,2023-07-24 16:25:36.564735
3,10%,230,4:46:37.380000,2023-07-24 16:25:40.398523
3,10%,234,4:46:42.120000,2023-07-24 16:25:45.118225
3,10%,234,4:46:45.140000,2023-07-24 16:25:48.137281
3,10%,232,4:46:47.160000,2023-07-24 16:25:50.159121
3,30%,232,4:46:49.200000,2023-07-24 16:25:52.192337
3,30%,230,4:46:53.330000,2023-07-24 16:25:56.331319
